KEY_CODE,population
533900054,52
533900064,3
533900072,34
533900073,34
533900074,79
533900081,199
533900082,290
533900083,189
533900084,105
533900091,1061
533900092,1297
533900093,432
533900094,974
533900152,223
533900154,21
533900161,202
533900163,152
533900164,24
533900172,45
533900173,8
533900174,73
533900181,410
533900182,192
533900183,179
533900184,271
533900191,320
533900192,28
533900193,365
533900194,30
533900201,50
533900203,226
533900204,46
533900212,4
533900221,3
533900223,5
533900251,98
533900252,244
533900253,108
533900254,23
533900261,52
533900262,174
533900263,35
533900264,75
533900271,314
533900272,668
533900273,445
533900274,361
533900281,43
533900282,12
533900283,813
533900284,524
533900291,2
533900292,249
533900293,71
533900301,18
533900302,4
533900311,55
533900322,10
533900324,86
533900333,69
533900341,17
533900342,3
533900351,42
533900352,384
533900354,16
533900361,856
533900362,792
533900363,35
533900364,99
533900371,381
533900372,37
533900373,159
533900374,484
533900381,470
533900382,156
533900383,167
533900412,5
533900414,5
533900422,58
533900423,99
533900424,72
533900431,22
533900433,15
533900434,6
533900441,4
533900442,2
533900451,40
533900452,7
533900453,24
533900461,1
533900462,3
533900471,3
533900472,86
533900493,13
533900494,9
533900513,7
533900521,18
533900522,62
533900523,2
533900524,28
533900541,29
533900542,1
533900543,16
533900551,2
533900553,4
533900591,22
533900622,17
533900624,28
533900633,64
533900641,1
533900651,6
533900654,6
533900692,3
533900694,129
533900731,20
533900732,3
533900733,24
533900734,19
533900764,2
533900792,18
533900832,43
533900902,2
533900933,40
533900934,4
533901001,926
533901002,153
533901003,1419
533901004,231
533901011,1012
533901012,1472
533901013,1293
533901014,1706
533901021,1368
533901022,372
533901023,616
533901024,215
533901031,26
533901032,19
533901034,11
533901041,9
533901042,94
533901043,88
533901044,3
533901052,40
533901054,33
533901061,41
533901062,76
533901063,9
533901064,75
533901071,54
533901072,57
533901073,19
533901074,1
533901081,273
533901082,313
533901083,222
533901084,885
533901091,11
533901092,59
533901094,74
533901101,355
533901102,664
533901103,568
533901104,1288
533901111,998
533901112,1194
533901113,864
533901114,380
533901121,225
533901122,29
533901123,478
533901133,14
533901134,41
533901141,4
533901142,54
533901151,13
533901152,52
533901161,168
533901162,43
533901164,32
533901172,101
533901173,139
533901181,264
533901182,1374
533901183,255
533901184,613
533901192,33
533901193,32
533901201,232
533901202,58
533901221,349
533901223,15
533901224,5
533901231,7
533901232,107
533901234,1
533901241,6
533901243,141
533901253,104
533901262,71
533901263,47
533901264,196
533901271,44
533901272,227
533901274,737
533901281,1673
533901282,104
533901283,2001
533901284,533
533901291,10
533901292,241
533901293,1
533901294,39
533901322,15
533901323,167
533901324,237
533901333,12
533901334,174
533901341,67
533901343,351
533901344,501
533901351,122
533901352,14
533901353,629
533901361,67
533901362,20
533901363,77
533901364,509
533901371,22
533901372,229
533901373,1298
533901374,2268
533901381,905
533901382,989
533901383,2055
533901384,1439
533901391,91
533901392,259
533901393,153
533901394,833
533901421,100
533901422,7
533901423,55
533901424,2
533901432,690
533901433,186
533901434,1134
533901441,1936
533901442,2403
533901443,2360
533901444,1893
533901451,2489
533901452,2070
533901453,1810
533901454,1201
533901461,1296
533901462,1476
533901463,1035
533901464,1388
533901471,2267
533901472,1946
533901473,1975
533901474,1439
533901481,1272
533901482,1471
533901483,2262
533901484,1217
533901491,472
533901492,339
533901502,1
533901513,67
533901521,61
533901522,33
533901523,53
533901524,55
533901531,318
533901532,1503
533901533,151
533901534,574
533901541,2102
533901542,1769
533901543,2259
533901544,1923
533901551,2062
533901552,260
533901553,163
533901554,2
533901561,1471
533901562,1191
533901563,433
533901564,1517
533901571,1527
533901572,1894
533901573,1346
533901574,946
533901581,1637
533901582,1490
533901583,1081
533901584,1371
533901591,315
533901592,113
533901593,1506
533901594,703
533901601,31
533901602,41
533901603,34
533901604,337
533901611,31
533901613,9
533901621,27
533901622,69
533901624,17
533901631,88
533901632,470
533901633,45
533901634,520
533901641,1844
533901642,1213
533901643,1041
533901644,1669
533901651,4
533901652,1172
533901653,1730
533901654,1640
533901661,32
533901662,26
533901663,79
533901664,1322
533901671,1667
533901672,1542
533901673,1661
533901674,1221
533901681,154
533901682,497
533901683,97
533901684,497
533901691,651
533901692,238
533901693,41
533901694,1
533901701,12
533901702,150
533901704,78
533901711,125
533901713,118
533901724,32
533901731,58
533901732,81
533901733,189
533901734,207
533901741,364
533901742,1300
533901743,312
533901744,460
533901751,1131
533901752,948
533901753,239
533901754,413
533901761,1152
533901762,542
533901763,219
533901764,89
533901771,198
533901772,683
533901773,81
533901774,70
533901781,168
533901782,499
533901783,180
533901784,304
533901791,140
533901793,16
533901794,5
533901802,120
533901804,21
533901811,136
533901812,16
533901813,3
533901822,52
533901824,185
533901831,14
533901832,77
533901833,149
533901834,2
533901841,50
533901842,243
533901843,65
533901844,91
533901851,296
533901852,55
533901853,117
533901854,153
533901881,21
533901882,176
533901883,43
533901884,126
533901891,3
533901893,26
533901902,2
533901904,3
533901931,11
533901933,10
533901941,22
533901951,166
533901952,82
533901953,70
533901954,12
533901963,15
533901981,134
533901982,19
533901983,154
533902003,52
533902004,70
533902012,17
533902013,16
533902014,78
533902023,22
533902024,14
533902031,100
533902032,325
533902033,314
533902034,1089
533902041,1962
533902042,1973
533902043,1160
533902044,1879
533902051,2058
533902052,2117
533902053,2650
533902054,1491
533902061,1641
533902062,2471
533902063,2743
533902064,2472
533902071,2190
533902072,642
533902073,117
533902074,476
533902081,2401
533902082,2312
