区役所,緯度,経度
千代田区役所,35.694003,139.753595
中央区役所,35.670648,139.771319
港区役所,35.658068,139.751599
新宿区役所,35.69384,139.703549
文京区役所,35.708067,139.75221
台東区役所,35.712736,139.790859
墨田区役所,35.710063,139.801658
江東区役所,35.649154,139.805017
品川区役所,35.609226,139.734841
目黒区役所,35.62125,139.688014
大田区役所,35.561206,139.716051
世田谷区役所,35.646096,139.65627
渋谷区役所,35.664596,139.69871
中野区役所,35.706927,139.664468
杉並区役所,35.699493,139.636288
豊島区役所,35.732128,139.716051
北区役所,35.752693,139.73348
荒川区役所,35.737529,139.781287
板橋区役所,35.774143,139.709335
練馬区役所,35.74836,139.651657
足立区役所,35.775664,139.80478
葛飾区役所,35.743689,139.84787
江戸川区役所,35.706912,139.902072
