区役所,経度,緯度
千代田区役所,139.723321,35.701198
中央区役所,139.793716,35.661689
港区役所,139.7303,35.648158
新宿区役所,139.669848,35.684795
文京区役所,139.745076,35.735486
台東区役所,139.79022,35.698608
墨田区役所,139.88099,35.718652
江東区役所,139.830079,35.693346
品川区役所,139.723754,35.608499
目黒区役所,139.683047,35.595676
大田区役所,139.72071,35.563604
世田谷区役所,139.624954,35.641782
渋谷区役所,139.675953,35.639937
中野区役所,139.642526,35.724284
杉並区役所,139.611264,35.688738
豊島区役所,139.688149,35.72678
北区役所,139.708953,35.765298
荒川区役所,139.792952,35.734222
板橋区役所,139.654986,35.771192
練馬区役所,139.592183,35.743796
足立区役所,139.790367,35.783777
葛飾区役所,139.845696,35.763162
江戸川区役所,139.86984,35.668932
