区役所,経度,緯度
千代田区役所,139.722298,35.70197
中央区役所,139.793232,35.661324
港区役所,139.730178,35.648754
新宿区役所,139.668263,35.687228
文京区役所,139.747669,35.735751
台東区役所,139.789628,35.698784
墨田区役所,139.829935,35.694189
江東区役所,139.870277,35.669105
品川区役所,139.723802,35.608505
目黒区役所,139.678349,35.599039
大田区役所,139.719339,35.563887
世田谷区役所,139.62416,35.640217
渋谷区役所,139.676986,35.642252
中野区役所,139.638564,35.727839
杉並区役所,139.611284,35.687174
豊島区役所,139.687386,35.730634
北区役所,139.712228,35.766903
荒川区役所,139.796052,35.734998
板橋区役所,139.656333,35.772716
練馬区役所,139.590909,35.744215
足立区役所,139.789968,35.785067
葛飾区役所,139.847141,35.763131
江戸川区役所,139.882796,35.71603
