2024-01-29 05:21:33
1回目，np.seedIndex=0
初期母点
139.853327 35.739489
139.726171 35.614729
139.753382 35.651234
139.742979 35.695846
139.872434 35.676172
139.684551 35.738951
139.785511 35.612627
139.872924 35.795696
139.843065 35.775541
139.693044 35.732458
139.869651 35.720996
139.741643 35.575175
139.730252 35.702722
139.873903 35.791652
139.743103 35.766327
139.678148 35.751257
139.764610 35.553510
139.847453 35.717038
139.600343 35.673394
139.697561 35.767618
139.657320 35.691878
139.671585 35.791885
139.840954 35.661992
局所最適点
139.869067 35.728271
139.670752 35.624245
139.727854 35.647433
139.758114 35.731136
139.867859 35.666537
139.623200 35.705082
139.792393 35.669608
139.826091 35.767278
139.785452 35.784396
139.678357 35.723115
139.894168 35.698443
139.719760 35.607233
139.723427 35.705160
139.861149 35.766959
139.721464 35.756091
139.588272 35.742850
139.715449 35.565773
139.796648 35.723120
139.617849 35.650652
139.680973 35.772851
139.669988 35.678877
139.638119 35.758686
139.829305 35.692046
optimized cost
182937.493833
2024-01-29 05:21:44
2回目，np.seedIndex=1
初期母点
139.640309 35.761858
139.748631 35.662373
139.795478 35.747181
139.850730 35.658192
139.733616 35.730385
139.668629 35.786318
139.607634 35.685353
139.664980 35.655529
139.608712 35.605423
139.731366 35.673953
139.669925 35.607717
139.665634 35.664901
139.851273 35.689114
139.792688 35.596477
139.897763 35.764987
139.636267 35.633174
139.816445 35.727798
139.880932 35.655527
139.849011 35.717576
139.691011 35.696895
139.864744 35.761549
139.751585 35.697251
139.610358 35.610685
局所最適点
139.592168 35.745168
139.731920 35.622059
139.789367 35.783476
139.791549 35.669376
139.713422 35.764016
139.657797 35.772375
139.614615 35.700653
139.695002 35.639721
139.650815 35.630820
139.723618 35.697940
139.691638 35.593136
139.646418 35.727654
139.827900 35.693306
139.722745 35.565168
139.891791 35.699553
139.668937 35.683463
139.793442 35.726528
139.867796 35.666233
139.869121 35.733490
139.689888 35.727102
139.841777 35.767772
139.748740 35.732408
139.612719 35.654210
optimized cost
181315.688823
2024-01-29 05:21:55
3回目，np.seedIndex=2
初期母点
139.886810 35.786957
139.850650 35.733992
139.781783 35.701700
139.774361 35.589596
139.729201 35.648383
139.816904 35.798705
139.884819 35.686044
139.733456 35.617060
139.739468 35.629616
139.714004 35.772947
139.757726 35.690128
139.697543 35.584174
139.753067 35.799671
139.868071 35.749190
139.820321 35.776648
139.828866 35.747437
139.706136 35.795244
139.826201 35.728788
139.738422 35.682589
139.747004 35.781208
139.750252 35.757881
139.706177 35.770713
139.869910 35.665253
局所最適点
139.848473 35.763746
139.830560 35.692237
139.793561 35.661624
139.715659 35.565834
139.616575 35.652872
139.811612 35.781240
139.893345 35.698393
139.717772 35.607730
139.728171 35.647424
139.652566 35.768853
139.677024 35.724983
139.668167 35.625440
139.775379 35.782414
139.871068 35.730067
139.751347 35.733359
139.796738 35.733025
139.625209 35.708709
139.791129 35.697741
139.670309 35.679741
139.709546 35.761736
139.721905 35.704563
139.591273 35.744210
139.867846 35.666447
optimized cost
184111.616725
2024-01-29 05:22:11
4回目，np.seedIndex=3
初期母点
139.671389 35.686057
139.710987 35.700980
139.787716 35.566382
139.603950 35.759367
139.677806 35.608583
139.898693 35.667566
139.850938 35.669088
139.791720 35.587654
139.790458 35.767011
139.756954 35.735313
139.827469 35.697775
139.690380 35.557753
139.859658 35.668187
139.815647 35.769703
139.814239 35.780275
139.718489 35.750227
139.733386 35.783897
139.640791 35.604247
139.889644 35.659040
139.787994 35.625257
139.752173 35.646467
139.705273 35.696269
139.775276 35.776050
局所最適点
139.622612 35.705951
139.720811 35.703372
139.715927 35.565311
139.591073 35.744121
139.669332 35.671854
139.871627 35.728882
139.830167 35.692849
139.721236 35.606758
139.794781 35.733580
139.746977 35.734946
139.790356 35.698311
139.672506 35.618527
139.894065 35.698106
139.848723 35.762971
139.811909 35.781306
139.649920 35.766407
139.705248 35.762347
139.618113 35.649902
139.867778 35.666433
139.793564 35.661677
139.727457 35.647103
139.673612 35.718550
139.775458 35.782404
optimized cost
184041.213028
2024-01-29 05:22:29
5回目，np.seedIndex=4
初期母点
139.670814 35.575792
139.718817 35.588743
139.619955 35.650398
139.875387 35.750113
139.761004 35.619171
139.651799 35.576546
139.664320 35.781869
139.848676 35.751663
139.692955 35.706744
139.819568 35.763662
139.781756 35.717925
139.751786 35.594448
139.742076 35.572337
139.880377 35.766371
139.764292 35.625061
139.872661 35.693092
139.864695 35.762011
139.752512 35.653487
139.779674 35.657761
139.648396 35.626278
139.613897 35.706588
139.684130 35.683655
139.741372 35.635711
局所最適点
139.687946 35.590288
139.691359 35.635441
139.624908 35.709670
139.891791 35.699553
139.733877 35.648917
139.611104 35.658353
139.652661 35.769562
139.793967 35.726358
139.709779 35.761653
139.789235 35.783519
139.750613 35.733347
139.727119 35.606414
139.722111 35.562420
139.869121 35.733490
139.792432 35.669762
139.867796 35.666233
139.841777 35.767772
139.720421 35.704038
139.828190 35.693297
139.669666 35.682571
139.591101 35.744419
139.675078 35.726652
139.647796 35.631851
optimized cost
180578.706543
2024-01-29 05:22:46
6回目，np.seedIndex=5
初期母点
139.786871 35.735447
139.838558 35.785613
139.821970 35.780581
139.608702 35.666406
139.883007 35.712244
139.740721 35.611643
139.763128 35.693485
139.603934 35.604182
139.683845 35.779086
139.785236 35.581675
139.600532 35.767851
139.662837 35.603870
139.894726 35.768102
139.686792 35.790369
