2024-01-29 05:21:33
1回目，np.seedIndex=0
初期母点
139.853327 35.739489
139.726171 35.614729
139.753382 35.651234
139.742979 35.695846
139.872434 35.676172
139.684551 35.738951
139.785511 35.612627
139.872924 35.795696
139.843065 35.775541
139.693044 35.732458
139.869651 35.720996
139.741643 35.575175
139.730252 35.702722
139.873903 35.791652
139.743103 35.766327
139.678148 35.751257
139.764610 35.553510
139.847453 35.717038
139.600343 35.673394
139.697561 35.767618
139.657320 35.691878
139.671585 35.791885
139.840954 35.661992
局所最適点
139.842964 35.729176
139.651775 35.627264
139.729452 35.632109
139.754662 35.728131
139.868527 35.666944
139.623082 35.705336
139.790382 35.668113
139.824744 35.776089
139.781555 35.785209
139.675856 35.718843
139.888249 35.706989
139.693139 35.604541
139.721183 35.699584
139.867188 35.760146
139.721765 35.755580
139.588437 35.743244
139.720140 35.567589
139.794062 35.727011
139.611631 35.655355
139.681614 35.771984
139.671725 35.669703
139.638395 35.758939
139.825659 35.690154
optimized cost
3962.348508
2024-01-29 05:21:42
2回目，np.seedIndex=1
初期母点
139.640309 35.761858
139.748631 35.662373
139.795478 35.747181
139.850730 35.658192
139.733616 35.730385
139.668629 35.786318
139.607634 35.685353
139.664980 35.655529
139.608712 35.605423
139.731366 35.673953
139.669925 35.607717
139.665634 35.664901
139.851273 35.689114
139.792688 35.596477
139.897763 35.764987
139.636267 35.633174
139.816445 35.727798
139.880932 35.655527
139.849011 35.717576
139.691011 35.696895
139.864744 35.761549
139.751585 35.697251
139.610358 35.610685
局所最適点
139.590768 35.744600
139.734427 35.626131
139.788475 35.785011
139.791290 35.668722
139.708886 35.765610
139.651004 35.769276
139.624205 35.710172
139.695565 35.640383
139.649798 35.621704
139.723292 35.699037
139.694088 35.593275
139.674544 35.692940
139.827036 35.694424
139.722927 35.565125
139.890396 35.700710
139.652375 35.661715
139.792651 35.727120
139.867994 35.666483
139.867243 35.735094
139.677935 35.731403
139.842126 35.769068
139.746293 35.735815
139.607900 35.655827
optimized cost
3943.422705
2024-01-29 05:21:52
3回目，np.seedIndex=2
初期母点
139.886810 35.786957
139.850650 35.733992
139.781783 35.701700
139.774361 35.589596
139.729201 35.648383
139.816904 35.798705
139.884819 35.686044
139.733456 35.617060
139.739468 35.629616
139.714004 35.772947
139.757726 35.690128
139.697543 35.584174
139.753067 35.799671
139.868071 35.749190
139.820321 35.776648
139.828866 35.747437
139.706136 35.795244
139.826201 35.728788
139.738422 35.682589
139.747004 35.781208
139.750252 35.757881
139.706177 35.770713
139.869910 35.665253
局所最適点
139.851821 35.767744
139.790243 35.700626
139.792355 35.661407
139.713975 35.566425
139.613555 35.658351
139.812241 35.782118
139.891492 35.699290
139.719293 35.607793
139.724252 35.648460
139.678028 35.773217
139.678434 35.723373
139.665017 35.625920
139.774800 35.783957
139.869056 35.731320
139.807751 35.734607
139.760649 35.732860
139.635502 35.753818
139.829832 35.691360
139.660395 35.685862
139.720597 35.756980
139.723323 35.705449
139.595725 35.730813
139.868239 35.666459
optimized cost
4188.429317
2024-01-29 05:22:04
4回目，np.seedIndex=3
初期母点
139.671389 35.686057
139.710987 35.700980
139.787716 35.566382
139.603950 35.759367
139.677806 35.608583
139.898693 35.667566
139.850938 35.669088
139.791720 35.587654
139.790458 35.767011
139.756954 35.735313
139.827469 35.697775
139.690380 35.557753
139.859658 35.668187
139.815647 35.769703
139.814239 35.780275
139.718489 35.750227
139.733386 35.783897
139.640791 35.604247
139.889644 35.659040
139.787994 35.625257
139.752173 35.646467
139.705273 35.696269
139.775276 35.776050
局所最適点
139.622277 35.708657
139.709586 35.709796
139.721148 35.563177
139.591926 35.745118
139.665466 35.637327
139.869583 35.731105
139.829692 35.693599
139.724461 35.609620
139.795912 35.734599
139.748274 35.729551
139.790747 35.698268
139.684976 35.594589
139.891492 35.699290
139.849754 35.764637
139.812742 35.782111
139.656302 35.761895
139.709767 35.762184
139.615243 35.652285
139.868165 35.666467
139.793037 35.661183
139.727125 35.649875
139.668515 35.693537
139.773240 35.782585
optimized cost
4077.249302
2024-01-29 05:22:13
5回目，np.seedIndex=4
初期母点
139.670814 35.575792
139.718817 35.588743
139.619955 35.650398
139.875387 35.750113
139.761004 35.619171
139.651799 35.576546
139.664320 35.781869
139.848676 35.751663
139.692955 35.706744
139.819568 35.763662
139.781756 35.717925
139.751786 35.594448
139.742076 35.572337
139.880377 35.766371
139.764292 35.625061
139.872661 35.693092
139.864695 35.762011
139.752512 35.653487
139.779674 35.657761
139.648396 35.626278
139.613897 35.706588
139.684130 35.683655
139.741372 35.635711
局所最適点
139.688452 35.589086
139.648227 35.629197
139.619079 35.705833
139.885852 35.709163
139.733614 35.650674
139.610892 35.655727
139.654015 35.771786
139.794349 35.727846
139.710168 35.761539
139.779483 35.784130
139.749700 35.729273
139.727874 35.607322
139.722496 35.562117
139.858705 35.751604
139.792404 35.669147
139.868669 35.667141
139.825174 35.777042
139.712537 35.705955
139.827665 35.694212
139.667423 35.681924
139.592750 35.745354
139.663566 35.728258
139.690899 35.635714
optimized cost
3867.105088
2024-01-29 05:22:23
6回目，np.seedIndex=5
初期母点
139.786871 35.735447
139.838558 35.785613
139.821970 35.780581
139.608702 35.666406
139.883007 35.712244
139.740721 35.611643
139.763128 35.693485
139.603934 35.604182
139.683845 35.779086
139.785236 35.581675
139.600532 35.767851
139.662837 35.603870
139.894726 35.768102
139.686792 35.790369
